Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1096433367757844489,President Trump Speaks on the National Security &amp; Humanitarian Crisis on Our Southern Border https://t.co/FqdfFORbv5,Donald J. Trump,realDonaldTrump,Fri Feb 15 15:37:40 +0000 2019,0,14963,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,0
1096547516290543617,"Great job by law enforcement in Aurora, Illinois. Heartfelt condolences to all of the victims and their families. America is with you!",Donald J. Trump,realDonaldTrump,Fri Feb 15 23:11:15 +0000 2019,124996,21403,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1096812333333184512,https://t.co/f6Jd2FzayZ,Donald J. Trump,realDonaldTrump,Sat Feb 16 16:43:32 +0000 2019,88142,20402,Undetermined,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Video,0,0,0
1096856815810342912,https://t.co/nJORBjwint,Donald J. Trump,realDonaldTrump,Sat Feb 16 19:40:18 +0000 2019,132133,40599,Undetermined,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Video,0,0,0
1096924708132581377,BUILDING THE WALL!,Donald J. Trump,realDonaldTrump,Sun Feb 17 00:10:04 +0000 2019,287580,61682,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1096926633708134406,"Trade negotiators have just returned from China where the meetings on Trade were very productive. Now at meetings with me at Mar-a-Lago giving the details. In the meantime, Billions of Dollars are being paid to the United States by China in the form of Trade Tariffs!",Donald J. Trump,realDonaldTrump,Sun Feb 17 00:17:44 +0000 2019,104120,21127,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1096980408401625088,"The United States is asking Britain, France, Germany and other European allies to take back over 800 ISIS fighters that we captured in Syria and put them on trial. The Caliphate is ready to fall. The alternative is not a good one in that we will be forced to release them........",Donald J. Trump,realDonaldTrump,Sun Feb 17 03:51:24 +0000 2019,88930,21404,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1096982979107278850,"....The U.S. does not want to watch as these ISIS fighters permeate Europe, which is where they are expected to go. We do so much, and spend so much - Time for others to step up and do the job that they are so capable of doing. We are pulling back after 100% Caliphate victory!",Donald J. Trump,realDonaldTrump,Sun Feb 17 04:01:37 +0000 2019,84673,18332,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1096984162882502657,@realDonaldTrump Protecting America and putting Americans first. Thank you Mr. President!,Donald J. Trump,realDonaldTrump,Sun Feb 17 04:06:20 +0000 2019,0,7988,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,1
1096995896968036352,"BIG: Strzok/Page Docs Show More Collusion to Protect Hillary Clinton; Voter Fraud Crisis--Thousands of Aliens Illegally Voting, PLUS @RealDonaldTrump is first president in 70 years to take border security seriously. Major @JudicialWatch Update: https://t.co/qzlqEQ6QpJ https://t.co/E2qetKQ7r1",Donald J. Trump,realDonaldTrump,Sun Feb 17 04:52:57 +0000 2019,0,11492,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,1,0,2
