Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1126928410310266880,"....into the future will continue. In the meantime, the United States has imposed Tariffs on China, which may or may not be removed depending on what happens with respect to future negotiations!",Donald J. Trump,realDonaldTrump,Fri May 10 19:14:04 +0000 2019,72133,13834,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,0
1126928408934535168,"Over the course of the past two days, the United States and China have held candid and constructive conversations on the status of the trade relationship between both countries. The relationship between President Xi and myself remains a very strong one, and conversations....",Donald J. Trump,realDonaldTrump,Fri May 10 19:14:04 +0000 2019,85690,16844,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1126958457146548225,"Military spouses share an admirable legacy of unwavering devotion to their loved ones in uniform and to the cause of freedom. On Military Spouse Day, we honor our Nation’s military spouses and express our deep appreciation for all that they do! https://t.co/B3NrKc698y",Donald J. Trump,realDonaldTrump,Fri May 10 21:13:28 +0000 2019,59986,15251,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1126995755301068801,"Tariffs will bring in FAR MORE wealth to our Country than even a phenomenal deal of the traditional kind. Also, much easier &amp; quicker to do. Our Farmers will do better, faster, and starving nations can now be helped. Waivers on some products will be granted, or go to new source!",Donald J. Trump,realDonaldTrump,Fri May 10 23:41:41 +0000 2019,0,13759,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,0
1127003228552531970,"....If we bought 15 Billion Dollars of Agriculture from our Farmers, far more than China buys now, we would have more than 85 Billion Dollars left over for new Infrastructure, Healthcare, or anything else. China would greatly slow down, and we would automatically speed up!",Donald J. Trump,realDonaldTrump,Sat May 11 00:11:23 +0000 2019,0,14843,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,0
1127033114646204423,"The @realDonaldTrump re-election campaign has reported more female donors than any other candidate – and it’s not even close!
 
Trump: 10,329
Harris: 3,850
Bernie: 3,271
https://t.co/Y2Ao7WlsmS",Donald J. Trump,realDonaldTrump,Sat May 11 02:10:08 +0000 2019,0,10620,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,1
1127033535527882752,SPYGATE CRIMES: Nadler abuse targeting AG Barr and @RealDonaldTrump designed to distract from the fact that the DNC/Dem Party apparatus has been caught using donor dollars to collude w/Russian intelligence to attack a domestic political opponent. @LouDobbs @JudicialWatch https://t.co/5oFf6d1ud5,Donald J. Trump,realDonaldTrump,Sat May 11 02:11:48 +0000 2019,0,12278,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Video,0,0,3
1127179709597540352,"Please watch and share this testimony from Carla Provost, @USBPChief, Chief of the US Border Patrol about the ongoing crisis on our Southern Border. We must stop playing politics with this dire situation and secure our border once and for all. #BorderSecurity https://t.co/AfYjUf96CH",Donald J. Trump,realDonaldTrump,Sat May 11 11:52:39 +0000 2019,0,4675,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Video,0,1,1
1127180063001251840,I agree with Leader McConnell: this case is closed. The Mueller Report cleared @DonaldJTrumpJr and he’s already spent 27 hours testifying before Congress. Dems have made it clear this is all about politics. It’s time to move on &amp; start focusing on issues that matter to Americans. https://t.co/11THs9LE0j,Donald J. Trump,realDonaldTrump,Sat May 11 11:54:03 +0000 2019,0,9132,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,1
1127180876352249857,BREAKING: New emails show Obama WH orchestrated Clinton email coverup; Illegal spying on @realDonaldTrump biggest corruption scandal in American history; PLUS @JudicialWatch FOIA results in Nellie Ohr criminal referral. Massive JW Update: https://t.co/kaKvBJHxdg https://t.co/A33p6OMEj8,Donald J. Trump,realDonaldTrump,Sat May 11 11:57:17 +0000 2019,0,8602,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Photo,1,0,2
