Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1161360593535848450,IN THE NEWS: Whispering Pines will present Christmas tree for ?the Vice President’s Residence| WLUK ??#Christmas ?@VP?  https://t.co/M49so30DZL,Donald J. Trump,realDonaldTrump,Tue Aug 13 19:35:17 +0000 2019,0,4037,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,1,1
1161361469470052353,Just leaving. Incredible Complex. JOBS! JOBS! JOBS! https://t.co/culShq7aqi,Donald J. Trump,realDonaldTrump,Tue Aug 13 19:38:46 +0000 2019,40007,9488,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1161361774064615425,"??????

Bill de Blasio draws 15-person crowd in Iowa https://t.co/0W7gvXAXwG",Donald J. Trump,realDonaldTrump,Tue Aug 13 19:39:58 +0000 2019,0,11046,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,0
1161361869652877312,I assume @cnn not available for comment. Imagine their coverage of this if they were a real news organization? https://t.co/uH2biAkKUZ,Donald J. Trump,realDonaldTrump,Tue Aug 13 19:40:21 +0000 2019,0,13487,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,1
1161362190156386304,"how can a man ( @realDonaldTrump ) provide this type of moment to a family and be considered by the scarecrows of america as a racist? 
the day OZ gives them all their own brains, maybe they will repent. https://t.co/ifrVoQOcIy",Donald J. Trump,realDonaldTrump,Tue Aug 13 19:41:37 +0000 2019,0,23350,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Video,0,0,1
1161362460957392896,"2020 Democrat Julian Castro says he’s “very proud” of his brother’s target list of @realDonaldTrump supporters.

Castro has no business being president and – if you look at the polls – nearly every American agrees.
https://t.co/umMmiRioqG",Donald J. Trump,realDonaldTrump,Tue Aug 13 19:42:42 +0000 2019,0,8468,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Video,0,0,1
1161362706655567874,"There are 34,000 U.S. troops in Germany protecting Germans and Europeans. I can tell you this: @RolandNelles &amp; @SPIEGELONLINE are wrong. Americans don’t understand why Germany isn’t meeting its NATO obligations &amp; helping the West. And they are growing very annoyed by it. https://t.co/cHH2FaUqkZ",Donald J. Trump,realDonaldTrump,Tue Aug 13 19:43:40 +0000 2019,0,7334,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,2
1161363107039629314,See you in New Hampshire! https://t.co/NhY0QwRrkd,Donald J. Trump,realDonaldTrump,Tue Aug 13 19:45:16 +0000 2019,38462,11221,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1161363368508186624,THIS. IS. CNN. @ChrisCuomo https://t.co/TrmMB5oOfs,Donald J. Trump,realDonaldTrump,Tue Aug 13 19:46:18 +0000 2019,0,8650,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,1
1161364026493980672,@ChrisCuomo Ok Fredo https://t.co/qqfklrp9qe,Donald J. Trump,realDonaldTrump,Tue Aug 13 19:48:55 +0000 2019,0,6317,Portuguese,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,GIF,0,0,1
1161377272391229440,"It always happens! When a Conservative does even a fraction of what Chris Cuomo did with his lunatic ranting, raving, &amp; cursing, they get destroyed by the Fake News. But when a Liberal Democrat like Chris Cuomo does it, Republicans immediately come to his defense. We never learn!",Donald J. Trump,realDonaldTrump,Tue Aug 13 20:41:33 +0000 2019,100587,26055,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1161381923488436224,"True! Without being stuck at an airport, where CNN buys (at a big price) an uninterested audience, they’ve got nothing going. @CNN is BAD for America! https://t.co/68pehXFHmx",Donald J. Trump,realDonaldTrump,Tue Aug 13 21:00:02 +0000 2019,70246,17884,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,1
1161433693254279168,"If 2020 Democrats like Biden have their way, they’d eliminate ALL fossil fuels.

They want to kill millions of American jobs and enact a socialist $93 TRILLION “Green New Deal.”

We can’t let that happen.
https://t.co/XIvRYoRIpf",Donald J. Trump,realDonaldTrump,Wed Aug 14 00:25:45 +0000 2019,0,8368,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Video,0,0,0
1161433863740100609,Thank you Bill! https://t.co/6TwDUEB7xm,Donald J. Trump,realDonaldTrump,Wed Aug 14 00:26:26 +0000 2019,60836,15663,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1161434511575592961,"Mr. Trump’s statements against illegal immigration, Muslim terrorism, and the economic failure of some third world countries are being used to create a racial theory, but theories are not facts and are often wrong.
 
https://t.co/nt0ssq569k",Donald J. Trump,realDonaldTrump,Wed Aug 14 00:29:00 +0000 2019,0,9075,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,0
1161434602034094082,"Harris thought she was going to a nursing home...

Ended up being taken to school. https://t.co/JAqPKjq41y",Donald J. Trump,realDonaldTrump,Wed Aug 14 00:29:22 +0000 2019,0,14139,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,0
1161434786088587274,"The Trump Economy is delivering incredible results for the blue-collar workers who need it most. 

In case you missed it: https://t.co/DFyOGNLEre",Donald J. Trump,realDonaldTrump,Wed Aug 14 00:30:06 +0000 2019,0,8444,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,0
1161439036256526336,"No debate on Election Security should go forward without first agreeing that Voter ID (Identification) must play a very strong part in any final agreement. Without Voter ID, it is all so meaningless!",Donald J. Trump,realDonaldTrump,Wed Aug 14 00:46:59 +0000 2019,138900,37679,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1161441667322449920,"Voter fraud is real:

Los Angeles county has a registration rate of 112% its adult population

The entire state of California has a registration rate of 101%

11 of 58 counties in CA have registration rates above 100%

Is this why California is solid Blue?

??",Donald J. Trump,realDonaldTrump,Wed Aug 14 00:57:26 +0000 2019,0,23823,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,0
